Date	Temperature [°C]
'13-Feb-2022 06:02:38'	10.257
'13-Feb-2022 07:02:38'	10.146
'13-Feb-2022 08:02:38'	10.089
'13-Feb-2022 09:02:38'	10.089
'13-Feb-2022 10:02:38'	13.165
'13-Feb-2022 11:02:38'	15.735
'13-Feb-2022 12:02:38'	12.102
'13-Feb-2022 13:02:38'	11.934
'13-Feb-2022 14:02:38'	11.319
'13-Feb-2022 15:02:38'	11.766
'13-Feb-2022 16:02:38'	11.711
'13-Feb-2022 17:02:38'	11.654
'13-Feb-2022 18:02:38'	11.431
'13-Feb-2022 19:02:38'	11.319
'13-Feb-2022 20:02:38'	11.208
'13-Feb-2022 21:02:38'	11.152
'13-Feb-2022 22:02:38'	11.152
'13-Feb-2022 23:02:38'	11.152
'14-Feb-2022 00:02:38'	11.152
'14-Feb-2022 01:02:38'	11.096
'14-Feb-2022 02:02:38'	11.096
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'NaT'	NaN
'14-Feb-2022 04:41:09'	10.986
'14-Feb-2022 05:41:09'	10.984
'14-Feb-2022 06:41:09'	11.04
'14-Feb-2022 07:41:09'	11.041
'14-Feb-2022 08:41:09'	10.984
'14-Feb-2022 09:41:09'	10.984
'14-Feb-2022 10:41:09'	11.04
'14-Feb-2022 11:41:09'	11.04
'14-Feb-2022 12:41:09'	11.152
'14-Feb-2022 13:41:09'	11.089
'14-Feb-2022 14:41:09'	11.04
'14-Feb-2022 15:41:09'	11.041
'14-Feb-2022 16:41:09'	11.152
'14-Feb-2022 17:41:09'	11.096
'14-Feb-2022 18:41:09'	11.096
'14-Feb-2022 19:41:09'	11.04
'14-Feb-2022 20:41:09'	11.04
'14-Feb-2022 21:41:09'	11.04
'14-Feb-2022 22:41:09'	11.041
'14-Feb-2022 23:41:09'	11.096
'15-Feb-2022 00:41:09'	11.096
'15-Feb-2022 01:41:09'	11.04
'15-Feb-2022 02:41:09'	11.04
'NaT'	NaN
'22-Feb-2022 07:41:09'	11.543
'22-Feb-2022 08:41:09'	11.543
'22-Feb-2022 09:41:09'	11.711
'22-Feb-2022 10:41:09'	12
'22-Feb-2022 11:41:09'	11.879
'22-Feb-2022 12:41:09'	11.822
'22-Feb-2022 13:41:09'	12.158
'22-Feb-2022 14:41:09'	12.325
'22-Feb-2022 15:41:09'	12.438
'22-Feb-2022 16:41:09'	12.437
'22-Feb-2022 17:41:09'	12.382
'22-Feb-2022 18:41:09'	12.438
'22-Feb-2022 19:41:09'	12.384
'22-Feb-2022 20:41:09'	12.325
'22-Feb-2022 21:41:09'	12.158
'22-Feb-2022 22:41:09'	12.046
'22-Feb-2022 23:41:09'	12.047
'23-Feb-2022 00:41:09'	12.046
'23-Feb-2022 01:41:09'	12.046
'23-Feb-2022 02:41:09'	12.102
'23-Feb-2022 03:41:09'	11.99
'23-Feb-2022 04:41:09'	11.879
'23-Feb-2022 05:41:09'	11.711
'23-Feb-2022 06:41:09'	11.654
'23-Feb-2022 07:41:09'	11.487
'23-Feb-2022 08:41:09'	11.432
'23-Feb-2022 09:41:09'	11.432
'23-Feb-2022 10:41:09'	11.599
'23-Feb-2022 11:41:09'	12.047
'23-Feb-2022 12:41:09'	12.103
'23-Feb-2022 13:41:09'	11.991
'23-Feb-2022 14:41:09'	12.159
'23-Feb-2022 15:41:09'	12.214
'23-Feb-2022 16:41:09'	12.326
'23-Feb-2022 17:41:09'	12.382
'23-Feb-2022 18:41:09'	12.326
'23-Feb-2022 19:41:09'	12.382
'23-Feb-2022 20:41:09'	12.158
'23-Feb-2022 21:41:09'	12.046
'23-Feb-2022 22:41:09'	11.99
'23-Feb-2022 23:41:09'	11.935
'24-Feb-2022 00:41:09'	11.878
'24-Feb-2022 01:41:09'	11.879
'24-Feb-2022 02:41:09'	11.823
'24-Feb-2022 03:41:09'	11.822
'24-Feb-2022 04:41:09'	11.766
'24-Feb-2022 05:41:09'	11.655
'24-Feb-2022 06:41:09'	11.543
'24-Feb-2022 08:41:09'	11.376
'24-Feb-2022 09:41:09'	11.431
'24-Feb-2022 10:41:09'	11.598
'24-Feb-2022 11:41:09'	11.99
'24-Feb-2022 12:41:09'	12.046
'24-Feb-2022 13:41:09'	12.046
'24-Feb-2022 14:41:09'	12.158
'24-Feb-2022 15:41:09'	12.159
'24-Feb-2022 16:41:09'	12.27
'24-Feb-2022 17:41:09'	12.326
'24-Feb-2022 18:41:09'	12.326
'24-Feb-2022 19:41:09'	12.326
'24-Feb-2022 20:41:09'	12.103
'24-Feb-2022 21:41:09'	12.046
'24-Feb-2022 22:41:09'	11.99
'24-Feb-2022 23:41:09'	11.935
'25-Feb-2022 00:41:09'	11.878
'25-Feb-2022 01:41:09'	11.879
'25-Feb-2022 02:41:09'	11.823
'25-Feb-2022 03:41:09'	11.823
'25-Feb-2022 04:41:09'	11.823
'25-Feb-2022 05:41:09'	11.878
'25-Feb-2022 06:41:09'	11.935
'25-Feb-2022 07:41:09'	11.879
'25-Feb-2022 16:50:49'	12.439
'25-Feb-2022 17:50:49'	12.438
'25-Feb-2022 18:50:49'	12.383
'25-Feb-2022 19:50:49'	12.271
'25-Feb-2022 20:50:49'	12.103
'25-Feb-2022 21:50:49'	12.103
'25-Feb-2022 22:50:49'	11.879
'25-Feb-2022 23:50:49'	11.879
'26-Feb-2022 00:50:49'	12.047
'26-Feb-2022 01:50:49'	11.879
'26-Feb-2022 02:50:49'	11.823
'26-Feb-2022 03:50:49'	11.711
'26-Feb-2022 04:50:49'	11.488
'26-Feb-2022 05:50:49'	11.488
'26-Feb-2022 06:50:49'	11.376
'26-Feb-2022 07:50:49'	11.432
'26-Feb-2022 08:50:49'	11.32
'26-Feb-2022 09:50:49'	11.432
'26-Feb-2022 10:50:49'	11.768
'26-Feb-2022 11:50:49'	11.823
'26-Feb-2022 12:50:49'	11.879
'26-Feb-2022 13:50:49'	11.712
'26-Feb-2022 14:50:49'	12.046
'NaT'	NaN
'26-Feb-2022 15:50:49'	12.047
'26-Feb-2022 16:50:49'	12.103
'26-Feb-2022 17:50:49'	12.103
'26-Feb-2022 18:50:49'	12.047
'26-Feb-2022 19:50:49'	11.823
'26-Feb-2022 20:50:49'	11.655
'26-Feb-2022 21:50:49'	11.488
'26-Feb-2022 22:50:49'	11.432
'26-Feb-2022 23:50:49'	11.376
'27-Feb-2022 00:50:49'	11.32
'27-Feb-2022 01:50:49'	11.264
'27-Feb-2022 02:50:49'	11.264
'27-Feb-2022 03:50:49'	11.152
'27-Feb-2022 04:50:49'	11.153
'27-Feb-2022 05:50:49'	11.152
'27-Feb-2022 06:50:49'	11.152
'27-Feb-2022 07:50:49'	11.264
'27-Feb-2022 08:50:49'	11.152
'27-Feb-2022 09:50:49'	11.096
'27-Feb-2022 10:50:49'	15.847
'27-Feb-2022 11:50:49'	12.885
'27-Feb-2022 12:50:49'	12.606
'27-Feb-2022 13:50:49'	12.102
'27-Feb-2022 14:50:49'	12.212
'27-Feb-2022 16:50:49'	12.102
'27-Feb-2022 17:50:49'	11.934
'27-Feb-2022 18:50:49'	11.878
'27-Feb-2022 19:50:49'	11.823
'27-Feb-2022 20:50:49'	11.767
'27-Feb-2022 21:50:49'	11.655
'27-Feb-2022 22:50:49'	11.655
'27-Feb-2022 23:50:49'	11.487
'28-Feb-2022 00:50:49'	11.431
'28-Feb-2022 01:50:49'	11.376
'28-Feb-2022 02:50:49'	11.32
'28-Feb-2022 03:50:49'	11.32
'28-Feb-2022 04:50:49'	11.264
'28-Feb-2022 05:50:49'	11.152
'28-Feb-2022 06:50:49'	11.152
'28-Feb-2022 07:50:49'	11.096
'28-Feb-2022 08:50:49'	11.152
'28-Feb-2022 09:50:49'	11.152
'28-Feb-2022 10:50:49'	11.265
'28-Feb-2022 11:50:49'	11.432
'28-Feb-2022 12:50:49'	11.599
'28-Feb-2022 13:50:49'	11.656
'28-Feb-2022 14:50:49'	11.823
'28-Feb-2022 15:50:49'	11.711
'28-Feb-2022 17:50:49'	11.822
'28-Feb-2022 18:50:49'	11.655
'28-Feb-2022 19:50:49'	11.598
'28-Feb-2022 20:50:49'	11.599
'28-Feb-2022 21:50:49'	11.599
'28-Feb-2022 22:50:49'	11.544
'28-Feb-2022 23:50:49'	11.488
'01-Mar-2022 00:50:49'	11.32
'01-Mar-2022 01:50:49'	11.264
'01-Mar-2022 02:50:49'	11.152
'01-Mar-2022 03:50:49'	11.096
'01-Mar-2022 04:50:49'	11.038
'01-Mar-2022 05:50:49'	10.984
'01-Mar-2022 06:50:49'	10.929
'01-Mar-2022 07:50:49'	10.872
'01-Mar-2022 08:50:49'	10.873
'01-Mar-2022 09:50:49'	10.929
'01-Mar-2022 10:50:49'	11.152
'01-Mar-2022 11:50:49'	11.431
'01-Mar-2022 12:50:49'	11.431
'01-Mar-2022 13:50:49'	11.543
'01-Mar-2022 14:50:49'	11.431
'01-Mar-2022 15:50:49'	11.543
'01-Mar-2022 16:50:49'	11.654
'01-Mar-2022 18:50:49'	11.431
'01-Mar-2022 19:50:49'	11.375
'01-Mar-2022 20:50:49'	11.376
'01-Mar-2022 21:50:49'	11.264
'01-Mar-2022 22:50:49'	11.152
'01-Mar-2022 23:50:49'	11.096
'02-Mar-2022 00:50:49'	10.928
'02-Mar-2022 01:50:49'	10.873
'02-Mar-2022 02:50:49'	10.705
'02-Mar-2022 03:50:49'	10.649
'02-Mar-2022 04:50:49'	10.593
'02-Mar-2022 05:50:49'	10.482
'02-Mar-2022 06:50:49'	10.481
'02-Mar-2022 07:50:49'	10.426
'02-Mar-2022 08:50:49'	10.369
'02-Mar-2022 09:50:49'	10.37
'02-Mar-2022 10:50:49'	10.537
'02-Mar-2022 11:50:49'	10.984
'02-Mar-2022 12:50:49'	10.929
'02-Mar-2022 13:50:49'	10.928
'02-Mar-2022 14:50:49'	10.928
'02-Mar-2022 15:50:49'	11.041
'02-Mar-2022 16:50:49'	11.152
'02-Mar-2022 17:50:49'	11.152
'02-Mar-2022 18:50:49'	11.096
'02-Mar-2022 19:50:49'	11.153
'02-Mar-2022 20:50:49'	11.041
'02-Mar-2022 21:50:49'	11.041
'02-Mar-2022 22:50:49'	10.984
'02-Mar-2022 23:50:49'	10.929
'03-Mar-2022 00:50:49'	10.873
'03-Mar-2022 01:50:49'	10.761
'03-Mar-2022 02:50:49'	10.704
'03-Mar-2022 03:50:49'	10.705
'03-Mar-2022 04:50:49'	10.65
'03-Mar-2022 05:50:49'	10.649
'03-Mar-2022 06:50:49'	10.594
'03-Mar-2022 07:50:49'	10.594
'03-Mar-2022 08:50:49'	10.593
'03-Mar-2022 09:50:49'	10.594
'03-Mar-2022 10:50:49'	10.761
'03-Mar-2022 11:50:49'	10.816
'03-Mar-2022 12:50:49'	11.04
'03-Mar-2022 13:50:49'	10.929
'03-Mar-2022 14:50:49'	10.984
'03-Mar-2022 15:50:49'	11.04
'03-Mar-2022 16:50:49'	11.095
'03-Mar-2022 17:50:49'	11.097
'03-Mar-2022 18:50:49'	11.097
'03-Mar-2022 19:50:49'	11.096
'03-Mar-2022 20:50:49'	11.097
'03-Mar-2022 21:50:49'	11.041
'03-Mar-2022 22:50:49'	11.041
'03-Mar-2022 23:50:49'	11.041
'04-Mar-2022 00:50:49'	10.929
'04-Mar-2022 01:50:49'	10.929
'04-Mar-2022 02:50:49'	10.873
'04-Mar-2022 03:50:49'	10.818
'04-Mar-2022 04:50:49'	10.817
'04-Mar-2022 05:50:49'	10.817
'04-Mar-2022 06:50:49'	10.761
'04-Mar-2022 07:50:49'	10.761
'04-Mar-2022 08:50:49'	10.761
'04-Mar-2022 09:50:49'	10.761
'04-Mar-2022 10:50:49'	11.152
'04-Mar-2022 11:50:49'	11.209
'04-Mar-2022 12:50:49'	11.375
'04-Mar-2022 13:50:49'	11.152
'04-Mar-2022 14:50:49'	11.544
'04-Mar-2022 15:50:49'	11.6
'04-Mar-2022 16:50:49'	11.544
'04-Mar-2022 17:50:49'	11.599
'04-Mar-2022 18:50:49'	11.264
'04-Mar-2022 19:50:49'	11.264
'04-Mar-2022 20:50:49'	11.208
'04-Mar-2022 21:50:49'	11.151
'04-Mar-2022 22:50:49'	11.096
'04-Mar-2022 23:50:49'	11.04
'05-Mar-2022 00:50:49'	11.04
'05-Mar-2022 01:50:49'	10.873
'05-Mar-2022 02:50:49'	10.817
'05-Mar-2022 03:50:49'	10.761
'05-Mar-2022 04:50:49'	10.76
'05-Mar-2022 05:50:49'	10.649
'05-Mar-2022 06:50:49'	10.537
'05-Mar-2022 07:50:49'	10.481
'05-Mar-2022 08:50:49'	10.481
'05-Mar-2022 09:50:49'	10.594
'05-Mar-2022 10:50:49'	10.985
'05-Mar-2022 11:50:49'	11.152
'05-Mar-2022 12:50:49'	11.152
'05-Mar-2022 13:50:49'	11.04
'05-Mar-2022 14:50:49'	11.32
'05-Mar-2022 15:50:49'	11.153
'05-Mar-2022 16:50:49'	11.265
'05-Mar-2022 17:50:49'	11.208
'05-Mar-2022 19:50:49'	11.041
'05-Mar-2022 20:50:49'	10.984
'05-Mar-2022 21:50:49'	10.928
'05-Mar-2022 22:50:49'	10.817
'05-Mar-2022 23:50:49'	10.761
'06-Mar-2022 00:50:49'	10.649
'06-Mar-2022 01:50:49'	10.593
'06-Mar-2022 02:50:49'	10.593
'06-Mar-2022 03:50:49'	10.537
'06-Mar-2022 04:50:49'	10.537
'06-Mar-2022 05:50:49'	10.481
'06-Mar-2022 06:50:49'	10.37
'06-Mar-2022 07:50:49'	10.37
'06-Mar-2022 08:50:49'	10.37
'06-Mar-2022 09:50:49'	10.481
'06-Mar-2022 10:50:49'	15.847
'06-Mar-2022 11:50:49'	13.445
'06-Mar-2022 12:50:49'	12.493
'06-Mar-2022 13:50:49'	11.766
'06-Mar-2022 14:50:49'	11.878
'06-Mar-2022 15:50:49'	11.767
'06-Mar-2022 16:50:49'	11.823
'06-Mar-2022 17:50:49'	11.544
'06-Mar-2022 18:50:49'	11.543
'06-Mar-2022 20:50:49'	11.432
'06-Mar-2022 21:50:49'	11.375
'06-Mar-2022 22:50:49'	11.32
'06-Mar-2022 23:50:49'	11.152
'07-Mar-2022 00:50:49'	11.04
'07-Mar-2022 01:50:49'	10.928
'07-Mar-2022 02:50:49'	10.873
'07-Mar-2022 03:50:49'	10.817
'07-Mar-2022 04:50:49'	10.817
'07-Mar-2022 05:50:49'	10.762
'07-Mar-2022 06:50:49'	10.705
'07-Mar-2022 07:50:49'	10.704
'07-Mar-2022 08:50:49'	10.705
'07-Mar-2022 09:50:49'	10.761
'07-Mar-2022 10:50:49'	10.817
'07-Mar-2022 11:50:49'	10.928
'07-Mar-2022 12:50:49'	10.985
'07-Mar-2022 13:50:49'	11.153
'07-Mar-2022 14:50:49'	11.209
'07-Mar-2022 15:50:49'	11.208
'07-Mar-2022 16:50:49'	11.152
'07-Mar-2022 17:50:49'	11.209
'07-Mar-2022 18:50:49'	11.153
'07-Mar-2022 19:50:49'	11.152
'07-Mar-2022 21:50:49'	11.096
'07-Mar-2022 22:50:49'	11.04
'07-Mar-2022 23:50:49'	10.985
'08-Mar-2022 00:50:49'	10.873
'08-Mar-2022 01:50:49'	10.76
'08-Mar-2022 02:50:49'	10.609
'08-Mar-2022 03:50:49'	10.482
'08-Mar-2022 04:50:49'	10.482
'08-Mar-2022 05:50:49'	10.37
'08-Mar-2022 06:50:49'	10.37
'08-Mar-2022 07:50:49'	10.314
'08-Mar-2022 08:50:49'	10.314
'08-Mar-2022 09:50:49'	10.314
'08-Mar-2022 10:50:49'	10.593
'08-Mar-2022 11:50:49'	10.929
'08-Mar-2022 12:50:49'	11.041
'08-Mar-2022 13:50:49'	10.872
'08-Mar-2022 14:50:49'	10.984
'08-Mar-2022 15:50:49'	10.984
'08-Mar-2022 16:50:49'	11.04
'08-Mar-2022 17:50:49'	10.985
'08-Mar-2022 18:50:49'	10.928
'08-Mar-2022 19:50:49'	10.928
'08-Mar-2022 20:50:49'	10.816
'08-Mar-2022 21:50:49'	10.76
'08-Mar-2022 22:50:49'	10.76
'08-Mar-2022 23:50:49'	10.593
'09-Mar-2022 00:50:49'	10.538
'09-Mar-2022 01:50:49'	10.37
'09-Mar-2022 02:50:49'	10.258
'09-Mar-2022 03:50:49'	10.202
'09-Mar-2022 04:50:49'	10.09
'09-Mar-2022 05:50:49'	10.034
'09-Mar-2022 06:50:49'	9.979
'09-Mar-2022 07:50:49'	9.922
'09-Mar-2022 08:50:49'	9.867
'09-Mar-2022 09:50:49'	9.922
'09-Mar-2022 10:50:49'	10.146
'09-Mar-2022 11:50:49'	10.37
'09-Mar-2022 12:50:49'	10.537
'09-Mar-2022 13:50:49'	10.426
'09-Mar-2022 14:50:49'	10.594
'09-Mar-2022 15:50:49'	10.761
'09-Mar-2022 16:50:49'	10.705
'09-Mar-2022 17:50:49'	10.705
'09-Mar-2022 18:50:49'	10.761
'09-Mar-2022 19:50:49'	10.649
'09-Mar-2022 20:50:49'	10.65
'09-Mar-2022 21:50:49'	10.649
'09-Mar-2022 22:50:49'	10.593
'09-Mar-2022 23:50:49'	10.537
'10-Mar-2022 00:50:49'	10.537
'10-Mar-2022 01:50:49'	10.426
'10-Mar-2022 02:50:49'	10.37
'10-Mar-2022 03:50:49'	10.202
'10-Mar-2022 04:50:49'	10.202
'10-Mar-2022 05:50:49'	10.12
'10-Mar-2022 06:50:49'	10.035
'10-Mar-2022 07:50:49'	10.034
'10-Mar-2022 08:50:49'	10.035
'10-Mar-2022 09:50:49'	10.034
'10-Mar-2022 10:50:49'	10.259
'10-Mar-2022 11:50:49'	10.482
'10-Mar-2022 12:50:49'	10.65
'10-Mar-2022 13:50:49'	10.594
'10-Mar-2022 14:50:49'	10.65
'10-Mar-2022 15:50:49'	10.762
'10-Mar-2022 16:50:49'	10.705
'10-Mar-2022 17:50:49'	10.761
'10-Mar-2022 18:50:49'	10.762
'10-Mar-2022 19:50:49'	10.761
'10-Mar-2022 20:50:49'	10.761
'10-Mar-2022 21:50:49'	10.761
'10-Mar-2022 22:50:49'	10.649
'10-Mar-2022 23:50:49'	10.649
'11-Mar-2022 00:50:49'	10.594
'11-Mar-2022 01:50:49'	10.594
'11-Mar-2022 02:50:49'	10.538
'11-Mar-2022 03:50:49'	10.481
'11-Mar-2022 04:50:49'	10.426
'11-Mar-2022 05:50:49'	10.37
'11-Mar-2022 06:50:49'	10.314
'11-Mar-2022 07:50:49'	10.258
'11-Mar-2022 08:50:49'	10.258
'11-Mar-2022 09:50:49'	10.314
'11-Mar-2022 10:50:49'	10.538
'11-Mar-2022 11:50:49'	10.817
'11-Mar-2022 12:50:49'	10.985
'11-Mar-2022 13:50:49'	10.761
'11-Mar-2022 14:50:49'	11.041
'11-Mar-2022 15:50:49'	11.152
'11-Mar-2022 16:50:49'	11.265
'11-Mar-2022 17:50:49'	11.264
'11-Mar-2022 18:50:49'	11.096
'11-Mar-2022 19:50:49'	10.984
'11-Mar-2022 20:50:49'	10.928
'11-Mar-2022 22:50:49'	10.872
'11-Mar-2022 23:50:49'	10.816
'12-Mar-2022 00:50:49'	10.761
'12-Mar-2022 01:50:49'	10.76
'12-Mar-2022 02:50:49'	10.675
'12-Mar-2022 03:50:49'	10.649
'12-Mar-2022 04:50:49'	10.649
'12-Mar-2022 05:50:49'	10.593
'12-Mar-2022 06:50:49'	10.537
'12-Mar-2022 07:50:49'	10.481
'12-Mar-2022 08:50:49'	10.426
'12-Mar-2022 09:50:49'	10.537
'12-Mar-2022 10:50:49'	10.817
'12-Mar-2022 11:50:49'	10.929
'12-Mar-2022 12:50:49'	11.153
'12-Mar-2022 13:50:49'	11.096
'12-Mar-2022 14:50:49'	11.265
'12-Mar-2022 15:50:49'	11.265
'12-Mar-2022 16:50:49'	11.376
'12-Mar-2022 17:50:49'	11.376
'12-Mar-2022 18:50:49'	11.208
'12-Mar-2022 19:50:49'	11.041
'12-Mar-2022 20:50:49'	11.096
'12-Mar-2022 21:50:49'	10.985
'12-Mar-2022 22:50:49'	10.928
'12-Mar-2022 23:50:49'	10.925
'13-Mar-2022 00:50:49'	10.872
